epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.7869,1.9278,2.18024,2.46266,0.00528,0.76786,0.00511,0.00171,3.17768,inf,22.6516,0.0704225,0.00328638,0.00328638
2,45.4263,1.93494,1.85518,2.43975,0.01417,0.78571,0.01389,0.00475,2.42403,inf,4.37131,0.0404211,0.00661825,0.00661825
3,66.5752,1.92229,1.74709,2.43853,0.11684,0.12143,0.02996,0.00491,3.78563,98.8169,14.2187,0.0104137,0.00994421,0.00994421
4,87.6539,1.83026,1.65389,2.36204,0.25655,0.25,0.15911,0.03546,2.92531,17.3779,4.11072,0.00998003,0.00998003,0.00998003
5,108.704,1.76486,1.58006,2.25968,0.2514,0.45357,0.23689,0.05659,2.52638,2.68856,3.32764,0.00996452,0.00996452,0.00996452
6,129.906,1.72248,1.5915,2.23923,0.2373,0.41071,0.20572,0.05418,2.14134,3.48039,2.70536,0.0099446,0.0099446,0.0099446
7,151.052,1.67645,1.57313,2.17246,0.42718,0.53214,0.40705,0.11655,1.90234,5.20719,2.38944,0.00992029,0.00992029,0.00992029
8,172.33,1.67983,1.51013,2.19153,0.30902,0.54643,0.27214,0.08267,2.07998,2.70487,2.56784,0.00989163,0.00989163,0.00989163
9,193.682,1.66932,1.49919,2.1688,0.47704,0.58929,0.43004,0.11394,2.07646,2.72096,2.62667,0.00985862,0.00985862,0.00985862
10,214.897,1.66867,1.48001,2.17633,0.41481,0.58929,0.38923,0.12244,2.18231,1.93216,2.65925,0.00982132,0.00982132,0.00982132
11,236.345,1.62876,1.50106,2.129,0.41087,0.6,0.38843,0.1145,2.1243,2.07985,2.63395,0.00977975,0.00977975,0.00977975
12,257.709,1.61249,1.47904,2.10886,0.44535,0.53571,0.40489,0.1056,2.44615,2.22049,3.17403,0.00973396,0.00973396,0.00973396
13,279.355,1.58149,1.45651,2.08527,0.63609,0.59286,0.59883,0.17624,2.07448,1.75621,2.62263,0.00968399,0.00968399,0.00968399
14,300.819,1.57363,1.44102,2.07751,0.71563,0.71429,0.72849,0.23488,1.94827,1.49593,2.41693,0.0096299,0.0096299,0.0096299
15,322.424,1.56834,1.43197,2.08092,0.56271,0.62963,0.55773,0.17138,2.06556,1.75639,2.65544,0.00957172,0.00957172,0.00957172
16,343.976,1.55977,1.39754,2.06918,0.76627,0.76429,0.78707,0.25905,1.89558,1.42498,2.35757,0.00950953,0.00950953,0.00950953
17,365.713,1.54019,1.43653,2.04223,0.81986,0.82897,0.85511,0.36307,1.63681,1.28145,2.09711,0.00944338,0.00944338,0.00944338
18,387.292,1.51975,1.38501,2.0275,0.79844,0.81429,0.85404,0.34394,1.73055,1.30977,2.15049,0.00937334,0.00937334,0.00937334
19,408.857,1.48723,1.37406,1.98282,0.82414,0.81429,0.87152,0.36879,1.68382,1.27563,2.14441,0.00929948,0.00929948,0.00929948
20,430.559,1.50124,1.3609,2.00425,0.85781,0.81786,0.88497,0.37238,1.76101,1.25113,2.18221,0.00922186,0.00922186,0.00922186
