epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,211.601,1.549,2.05091,1.83611,0.26259,0.32114,0.17301,0.07941,1.88928,3.21081,2.32856,0.0700487,0.00332792,0.00332792
2,407.054,1.46927,1.92356,1.79191,0.50702,0.39551,0.42922,0.28441,1.31001,2.0357,1.73721,0.0400472,0.00665978,0.00665978
3,602.583,1.39229,1.82123,1.72647,0.46179,0.44472,0.45298,0.29944,1.38253,2.1432,1.77144,0.0100398,0.00998571,0.00998571
4,801.702,1.34629,1.74006,1.6843,0.5352,0.54553,0.47912,0.31981,1.22803,1.54451,1.59394,0.00998003,0.00998003,0.00998003
5,998.988,1.30792,1.68381,1.65535,0.49452,0.53821,0.42658,0.28253,1.22757,1.63542,1.57987,0.00996452,0.00996452,0.00996452
6,1193.22,1.26921,1.6328,1.62402,0.55188,0.55935,0.51806,0.35739,1.15223,1.37624,1.52537,0.0099446,0.0099446,0.0099446
7,1388.12,1.24487,1.5998,1.60165,0.57171,0.58862,0.55049,0.39598,1.07122,1.28362,1.45189,0.00992029,0.00992029,0.00992029
8,1582.31,1.22535,1.56139,1.57695,0.50177,0.63373,0.46804,0.31985,1.06529,1.3561,1.46612,0.00989163,0.00989163,0.00989163
9,1778.7,1.20674,1.53736,1.56407,0.54771,0.63008,0.49019,0.34407,1.03896,1.29523,1.4073,0.00985862,0.00985862,0.00985862
10,1977.62,1.19264,1.51576,1.55119,0.59122,0.64472,0.57053,0.41195,1.02191,1.15099,1.42474,0.00982132,0.00982132,0.00982132
11,2173.68,1.17865,1.49632,1.54094,0.60365,0.69431,0.60122,0.4315,0.96131,1.09232,1.35648,0.00977975,0.00977975,0.00977975
12,2369.72,1.16642,1.47649,1.52867,0.62636,0.69187,0.63876,0.47298,0.95623,1.05454,1.3384,0.00973396,0.00973396,0.00973396
13,2565.25,1.15841,1.46062,1.51641,0.64993,0.68374,0.66271,0.49598,0.95175,1.03094,1.33026,0.00968399,0.00968399,0.00968399
14,2758.45,1.14035,1.4428,1.5034,0.65725,0.68751,0.6819,0.51178,0.93947,0.99488,1.31731,0.0096299,0.0096299,0.0096299
15,2959.17,1.13423,1.42783,1.49839,0.6784,0.70407,0.70724,0.52994,0.91611,0.96899,1.31087,0.00957172,0.00957172,0.00957172
16,3154.39,1.12334,1.41115,1.49056,0.67559,0.7111,0.69699,0.51736,0.89821,0.9336,1.28865,0.00950953,0.00950953,0.00950953
17,3349.58,1.11942,1.40122,1.48514,0.68824,0.73588,0.71517,0.54367,0.86996,0.90451,1.26555,0.00944338,0.00944338,0.00944338
18,3544.66,1.10773,1.39506,1.47496,0.69852,0.68378,0.7095,0.54479,0.87783,0.918,1.27651,0.00937334,0.00937334,0.00937334
19,3737.96,1.10601,1.38805,1.47105,0.73014,0.71272,0.73576,0.57611,0.85428,0.87059,1.23426,0.00929948,0.00929948,0.00929948
20,3929.4,1.0972,1.37505,1.46351,0.70319,0.73496,0.73495,0.56295,0.86416,0.86481,1.24689,0.00922186,0.00922186,0.00922186
21,4123.18,1.09127,1.36558,1.45858,0.73758,0.72764,0.75827,0.58935,0.84709,0.82746,1.23317,0.00914058,0.00914058,0.00914058
22,4319.65,1.08408,1.35413,1.45389,0.72542,0.73984,0.74757,0.58287,0.83434,0.83105,1.22386,0.0090557,0.0090557,0.0090557
23,4512.96,1.07454,1.3434,1.44366,0.71494,0.78049,0.76434,0.59281,0.82059,0.81229,1.20451,0.00896731,0.00896731,0.00896731
24,4707.74,1.07387,1.33196,1.44115,0.76135,0.7561,0.77154,0.60464,0.80708,0.79253,1.19672,0.0088755,0.0088755,0.0088755
25,4900.55,1.06671,1.3273,1.43844,0.73303,0.7748,0.77322,0.60674,0.79849,0.79622,1.18841,0.00878036,0.00878036,0.00878036
26,5093.96,1.06391,1.32128,1.43507,0.76609,0.74289,0.7856,0.61507,0.79722,0.77617,1.18426,0.00868198,0.00868198,0.00868198
27,5286.1,1.05844,1.31506,1.4299,0.7498,0.75531,0.7742,0.6145,0.78884,0.77108,1.17508,0.00858046,0.00858046,0.00858046
28,5477.77,1.05511,1.30783,1.42627,0.73906,0.76992,0.78217,0.62207,0.7817,0.7682,1.1689,0.0084759,0.0084759,0.0084759
29,5671.22,1.0479,1.29952,1.42066,0.77414,0.75238,0.78449,0.62582,0.77749,0.75421,1.17367,0.00836841,0.00836841,0.00836841
30,5863.6,1.04442,1.29641,1.41859,0.75468,0.77033,0.79184,0.62783,0.77432,0.74355,1.16721,0.00825808,0.00825808,0.00825808
31,6055.58,1.03792,1.2915,1.41281,0.75321,0.78455,0.78768,0.62897,0.77302,0.73749,1.16668,0.00814503,0.00814503,0.00814503
32,6246.97,1.03549,1.27997,1.40664,0.74938,0.77236,0.79344,0.63319,0.7709,0.74581,1.16403,0.00802938,0.00802938,0.00802938
33,6439.63,1.03249,1.27345,1.40692,0.75275,0.77967,0.79277,0.63381,0.76663,0.74007,1.16038,0.00791122,0.00791122,0.00791122
34,6630.59,1.02629,1.26869,1.40209,0.76425,0.77224,0.79726,0.63964,0.76425,0.73444,1.15704,0.00779069,0.00779069,0.00779069
35,6821.76,1.02553,1.26286,1.39794,0.75399,0.77805,0.7934,0.63841,0.75858,0.72967,1.15039,0.00766789,0.00766789,0.00766789
36,7012.99,1.01958,1.25815,1.39795,0.75629,0.77455,0.79792,0.64098,0.75667,0.72784,1.14723,0.00754296,0.00754296,0.00754296
37,7203.16,1.01755,1.25153,1.3918,0.77085,0.75854,0.80192,0.64433,0.75406,0.71879,1.14477,0.00741601,0.00741601,0.00741601
38,7395.65,1.01356,1.24793,1.3912,0.76222,0.77805,0.80226,0.64689,0.74419,0.71892,1.14108,0.00728717,0.00728717,0.00728717
39,7587.09,1.01239,1.24248,1.38597,0.76089,0.78392,0.80524,0.65004,0.74134,0.71614,1.13759,0.00715656,0.00715656,0.00715656
40,7786.15,1.00698,1.239,1.38349,0.76661,0.78293,0.80712,0.65232,0.73691,0.71578,1.13603,0.00702432,0.00702432,0.00702432
41,7987.24,1.00445,1.23562,1.38316,0.77329,0.77317,0.80995,0.65299,0.73659,0.70939,1.13184,0.00689058,0.00689058,0.00689058
42,8181.89,0.99808,1.22746,1.38011,0.78052,0.76098,0.80865,0.65362,0.73691,0.71343,1.13142,0.00675546,0.00675546,0.00675546
43,8380.66,0.99721,1.22364,1.37637,0.76746,0.7701,0.80927,0.6547,0.73637,0.71473,1.13035,0.0066191,0.0066191,0.0066191
44,8573.97,0.99302,1.21269,1.37166,0.7646,0.77636,0.81059,0.6553,0.73607,0.71432,1.12887,0.00648164,0.00648164,0.00648164
