epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.40268,2.01229,3.41699,2.46871,0.00311,0.71795,0.08067,0.02337,3.16655,3.20867,4.63786,0.0919,0.0009,0.0009
2,10.7314,1.92792,2.45179,2.485,0.00668,0.47863,0.00656,0.00143,3.50344,inf,58.938,0.0828996,0.00189958,0.00189958
3,15.3199,1.93064,2.13315,2.49384,0.00319,0.42735,0.00208,0.00074,3.609,inf,3230.55,0.0738974,0.00289742,0.00289742
4,19.9663,1.99397,2.23369,2.66534,0.00033,0.07692,0.00024,9e-05,3.44061,inf,627.982,0.0648922,0.00389221,0.00389221
5,25.6389,2.04891,2.13702,2.71589,4e-05,0.00855,2e-05,0,3.13839,inf,892.299,0.0558826,0.00488261,0.00488261
6,30.1079,1.96908,2.08411,2.56104,0,0,0,0,3.31764,inf,90.8552,0.0468673,0.00586731,0.00586731
7,34.601,2.01313,1.99597,2.59401,0,0,0,0,3.38848,inf,42.4739,0.037845,0.006845,0.006845
8,39.7756,1.89561,1.98255,2.55065,0.0071,0.64957,0.00641,0.00212,2.56714,inf,54.7213,0.0288144,0.00781438,0.00781438
9,43.9982,1.90447,1.90153,2.47363,0.00308,0.68376,0.00277,0.00102,2.61861,inf,121.558,0.0197742,0.00877418,0.00877418
10,48.7616,1.86288,1.82784,2.42647,0.00188,0.42735,0.00143,0.00057,3.03984,inf,332.758,0.0107231,0.00972311,0.00972311
11,53.7182,1.82343,1.76156,2.37737,0.00041,0.09402,0.00024,7e-05,2.88099,inf,78.0188,0.00977975,0.00977975,0.00977975
12,58.1595,1.75469,1.7851,2.33979,0.00038,0.08547,0.00021,6e-05,3.12701,inf,25.2815,0.00973396,0.00973396,0.00973396
13,63.5091,1.75674,1.72882,2.30572,0.02247,0.2735,0.01733,0.00519,2.60441,inf,4.61346,0.00968399,0.00968399,0.00968399
14,67.9568,1.75336,1.73819,2.31351,0.01101,0.61538,0.00956,0.00281,2.65206,inf,4.26113,0.0096299,0.0096299,0.0096299
15,72.0437,1.79067,1.63435,2.30208,0.2,0.02564,0.02908,0.00702,2.64314,inf,4.41129,0.00957172,0.00957172,0.00957172
16,77.2171,1.73162,1.65723,2.32112,0.24051,0.16239,0.09816,0.02749,3.04146,40.4029,5.76363,0.00950953,0.00950953,0.00950953
17,81.5112,1.72031,1.60934,2.28274,0.15357,0.32566,0.12159,0.0314,2.69052,16.94,3.84845,0.00944338,0.00944338,0.00944338
18,85.6786,1.71175,1.63773,2.26834,0.17275,0.17949,0.08121,0.02152,2.95951,8.77347,4.30086,0.00937334,0.00937334,0.00937334
19,90.9382,1.70922,1.595,2.2166,0.10395,0.15385,0.05787,0.01379,3.40771,10.5218,6.86012,0.00929948,0.00929948,0.00929948
20,95.0892,1.64497,1.54161,2.20723,0.15536,0.17452,0.08293,0.02254,2.82986,5.53338,4.29597,0.00922186,0.00922186,0.00922186
21,99.2746,1.62379,1.54887,2.2004,0.25782,0.2906,0.19867,0.06213,2.77952,8.1427,4.08501,0.00914058,0.00914058,0.00914058
22,104.852,1.65802,1.55252,2.16003,0.47752,0.41026,0.3204,0.10511,2.56821,5.08875,3.72391,0.0090557,0.0090557,0.0090557
23,109.041,1.58609,1.51776,2.12257,0.37042,0.36752,0.28477,0.07552,2.52912,7.26069,3.67765,0.00896731,0.00896731,0.00896731
24,113.448,1.57546,1.45413,2.14833,0.54943,0.39607,0.40352,0.14753,2.303,4.3626,3.34895,0.0088755,0.0088755,0.0088755
25,118.94,1.58449,1.54196,2.14715,0.31284,0.23932,0.18066,0.05766,2.59029,5.14304,3.72468,0.00878036,0.00878036,0.00878036
26,123.087,1.54811,1.42809,2.11302,0.5777,0.35043,0.34463,0.09792,2.82993,3.30051,4.30166,0.00868198,0.00868198,0.00868198
27,127.933,1.62916,1.42721,2.21033,0.21537,0.20513,0.13837,0.03758,3.22001,3.68479,5.82332,0.00858046,0.00858046,0.00858046
28,132.701,1.59885,1.43994,2.14251,0.30412,0.48718,0.28635,0.08764,2.42525,3.66106,3.32645,0.0084759,0.0084759,0.0084759
29,137.013,1.58203,1.38444,2.09929,0.25723,0.36703,0.20403,0.05782,2.67615,2.42635,3.79173,0.00836841,0.00836841,0.00836841
30,142.254,1.56124,1.41626,2.09483,0.4109,0.44444,0.3483,0.12312,2.28199,2.26189,3.05371,0.00825808,0.00825808,0.00825808
31,146.427,1.58826,1.39007,2.14435,0.40192,0.30769,0.27691,0.07388,2.63829,6.31801,3.58685,0.00814503,0.00814503,0.00814503
32,150.606,1.55868,1.38116,2.13788,0.49938,0.4359,0.41775,0.14483,2.3077,5.95122,3.25688,0.00802938,0.00802938,0.00802938
33,155.852,1.5215,1.34295,2.08621,0.66014,0.54787,0.5565,0.20179,2.13673,2.64285,2.92882,0.00791122,0.00791122,0.00791122
34,160.197,1.50863,1.27066,2.06603,0.31125,0.31287,0.18696,0.05149,2.76765,3.5597,4.12739,0.00779069,0.00779069,0.00779069
35,164.458,1.52754,1.37617,2.0917,0.39301,0.49573,0.35257,0.11204,2.4131,2.83265,3.27731,0.00766789,0.00766789,0.00766789
36,169.936,1.45999,1.32082,2.01851,0.555,0.48718,0.42864,0.14197,2.39593,3.10327,3.12871,0.00754296,0.00754296,0.00754296
37,174.213,1.45019,1.2786,1.95609,0.72292,0.48718,0.54391,0.19042,2.43435,2.14413,3.20386,0.00741601,0.00741601,0.00741601
38,178.377,1.484,1.22065,2.00309,0.72227,0.52137,0.56012,0.21666,2.26751,1.73,2.98195,0.00728717,0.00728717,0.00728717
39,183.662,1.47532,1.20854,2.00357,0.64214,0.56748,0.53218,0.17399,2.50349,1.82285,3.35018,0.00715656,0.00715656,0.00715656
40,187.908,1.55883,1.22775,2.07859,0.58628,0.51282,0.51655,0.175,2.49952,1.84297,3.41499,0.00702432,0.00702432,0.00702432
41,192.309,1.47449,1.28339,2.00917,0.64916,0.50427,0.50595,0.18335,2.37191,1.77291,3.20176,0.00689058,0.00689058,0.00689058
42,197.666,1.46719,1.27748,2.02405,0.54891,0.51282,0.51671,0.19275,2.40138,1.56509,3.15776,0.00675546,0.00675546,0.00675546
43,202.082,1.42605,1.197,1.95949,0.65656,0.51282,0.55374,0.19671,2.35234,1.52059,3.06454,0.0066191,0.0066191,0.0066191
44,206.874,1.39778,1.21056,1.9383,0.46807,0.39316,0.38144,0.09997,2.6829,1.89063,3.514,0.00648164,0.00648164,0.00648164
45,211.568,1.40998,1.1186,1.9388,0.631,0.43848,0.50158,0.164,2.54407,1.79966,3.31074,0.00634322,0.00634322,0.00634322
46,215.808,1.41591,1.07443,1.90303,0.58052,0.4188,0.50476,0.16281,2.5619,2.00323,3.39696,0.00620396,0.00620396,0.00620396
47,220.86,1.44087,1.11182,1.93747,0.71408,0.59769,0.57381,0.20344,2.32787,1.56002,3.04749,0.006064,0.006064,0.006064
48,225.255,1.36451,1.06382,1.87519,0.61398,0.54701,0.48526,0.17302,2.44765,1.56026,3.14263,0.00592349,0.00592349,0.00592349
49,229.441,1.37828,1.07104,1.88554,0.7005,0.52991,0.5738,0.2228,2.23005,1.55068,2.83821,0.00578256,0.00578256,0.00578256
50,234.822,1.36708,1.06161,1.84627,0.64539,0.58974,0.58054,0.20524,2.3404,1.47592,2.97465,0.00564135,0.00564135,0.00564135
51,239.096,1.35097,1.08657,1.88188,0.76226,0.5207,0.57093,0.19069,2.40443,1.43204,3.08208,0.0055,0.0055,0.0055
52,243.415,1.37669,1.05182,1.88801,0.71465,0.57798,0.62585,0.22758,2.33344,1.38062,3.03197,0.00535865,0.00535865,0.00535865
53,248.687,1.3663,1.08333,1.87261,0.65822,0.55966,0.54131,0.19269,2.43192,1.65454,3.12307,0.00521744,0.00521744,0.00521744
54,252.838,1.40642,1.10706,1.89561,0.65468,0.58974,0.51,0.20266,2.15025,1.75782,2.82642,0.00507651,0.00507651,0.00507651
55,256.971,1.4465,1.14836,1.93292,0.74318,0.54414,0.55348,0.19091,2.43595,1.79451,3.1676,0.004936,0.004936,0.004936
56,262.264,1.38997,1.12477,1.93027,0.70247,0.46154,0.53104,0.13499,2.70197,1.97426,3.59001,0.00479604,0.00479604,0.00479604
57,266.436,1.36389,1.12218,1.86349,0.67377,0.52137,0.545,0.18394,2.37856,1.77627,3.01968,0.00465678,0.00465678,0.00465678
58,270.643,1.38811,1.11191,1.89398,0.69052,0.50427,0.53909,0.18482,2.36358,1.62799,2.98336,0.00451836,0.00451836,0.00451836
59,275.975,1.28954,1.00373,1.83485,0.73733,0.52991,0.57454,0.20517,2.45854,1.58714,3.12291,0.0043809,0.0043809,0.0043809
60,280.25,1.35688,1.04073,1.87169,0.65112,0.62393,0.62617,0.23746,2.33708,1.47496,2.97384,0.00424454,0.00424454,0.00424454
61,284.531,1.36594,1.02966,1.84669,0.65344,0.54701,0.5657,0.21156,2.38104,1.5064,3.09866,0.00410942,0.00410942,0.00410942
